,subj_emp,variable,wbeing_emp
1,585202,X.24,NA
2,5656802,X.24,NA
3,665302,X.24,NA
4,5116701,X.24,NA
5,1055903,X.24,NA
6,5209302,X.24,NA
7,526901,X.24,NA
8,2860404,X.24,NA
9,5064702,X.24,NA
10,2102002,X.24,NA
11,5208701,X.24,NA
12,161102,X.24,NA
13,565403,X.24,NA
14,5061703,X.24,NA
15,137902,X.24,NA
16,5207202,X.24,NA
17,502502,X.24,NA
18,5160801,X.24,NA
19,5111801,X.24,NA
20,2984902,X.24,NA
21,2149501,X.24,NA
22,5071103,X.24,NA
23,462102,X.24,NA
24,1024902,X.24,NA
25,587401,X.24,NA
26,259302,X.24,NA
27,5604002,X.24,NA
28,5078703,X.24,NA
29,2553301,X.24,NA
30,5043002,X.24,NA
31,5207802,X.24,NA
32,212402,X.24,NA
33,43703,X.24,NA
34,5035901,X.24,NA
35,5076005,X.24,NA
36,535601,X.24,NA
37,586501,X.24,NA
38,107001,X.24,NA
39,579301,X.24,NA
40,5164002,X.24,NA
41,566301,X.24,NA
42,595701,X.24,NA
43,3050403,X.24,NA
44,11502,X.24,NA
45,560604,X.24,NA
46,5183402,X.24,NA
47,394104,X.24,NA
48,331801,X.24,NA
49,257101,X.24,NA
50,590004,X.24,NA
51,855803,X.24,NA
52,356001,X.24,NA
53,5012201,X.24,NA
54,2968702,X.24,NA
55,488101,X.24,NA
56,181304,X.24,NA
57,5100901,X.24,NA
58,5085705,X.24,NA
59,512401,X.24,NA
60,2155604,X.24,NA
61,594301,X.24,NA
62,2713802,X.24,NA
63,445905,X.24,NA
64,5666002,X.24,NA
65,292203,X.24,NA
66,5050503,X.24,NA
67,5668902,X.24,NA
68,5207601,X.24,NA
69,5170001,X.24,NA
70,5106701,X.24,NA
71,947502,X.24,NA
72,5160502,X.24,NA
73,89401,X.24,NA
74,13902,X.24,NA
75,7020501,X.24,NA
76,5194302,X.24,NA
77,149301,X.24,NA
78,329901,X.24,NA
79,457302,X.24,NA
80,5605602,X.24,NA
81,228404,X.24,NA
82,85201,X.24,NA
83,5096602,X.24,NA
84,3022201,X.24,NA
85,442003,X.24,NA
86,50701,X.24,NA
87,2189402,X.24,NA
88,5043801,X.24,NA
89,5021802,X.24,NA
90,2990301,X.24,NA
91,499801,X.24,NA
92,5188902,X.24,NA
93,434803,X.24,NA
94,5129601,X.24,NA
95,5403902,X.24,NA
96,106001,X.24,NA
97,1009806,X.24,NA
98,5036304,X.24,NA
99,5162004,X.24,NA
100,41901,X.24,NA
101,585801,X.24,NA
102,2873802,X.24,NA
103,2905101,X.24,NA
104,7008102,X.24,NA
105,2586201,X.24,NA
106,84803,X.24,NA
107,152802,X.24,NA
108,2189401,X.24,NA
109,573003,X.24,NA
110,5069702,X.24,NA
111,5162802,X.24,NA
112,5046504,X.24,NA
113,511001,X.24,NA
114,506404,X.24,NA
115,2196401,X.24,NA
116,8026501,X.24,NA
117,212802,X.24,NA
118,5066101,X.24,NA
119,3062102,X.24,NA
120,8004,X.24,NA
121,105902,X.24,NA
122,2022102,X.24,NA
123,872102,X.24,NA
124,5095101,X.24,NA
125,5016602,X.24,NA
126,239303,X.24,NA
127,10303,X.24,NA
128,179402,X.24,NA
129,5161504,X.24,NA
130,2666402,X.24,NA
131,3498803,X.24,NA
132,484601,X.24,NA
133,299201,X.24,NA
134,566201,X.24,NA
135,7219401,X.24,NA
136,7005302,X.24,NA
137,556802,X.24,NA
138,2716604,X.24,NA
139,872002,X.24,NA
140,32002,X.24,NA
141,5074002,X.24,NA
142,5049504,X.24,NA
143,545702,X.24,NA
144,162701,X.24,NA
145,5095701,X.24,NA
146,5051102,X.24,NA
147,5074402,X.24,NA
148,5116903,X.24,NA
149,5090403,X.24,NA
150,572504,X.24,NA
151,964302,X.24,NA
152,5165101,X.24,NA
153,523101,X.24,NA
154,7002601,X.24,NA
155,534102,X.24,NA
156,2702802,X.24,NA
157,5023901,X.24,NA
158,3069702,X.24,NA
159,1195002,X.24,NA
160,522001,X.24,NA
161,826706,X.24,NA
162,2733202,X.24,NA
163,574901,X.24,NA
164,7011901,X.24,NA
165,913404,X.24,NA
166,2553402,X.24,NA
167,3017002,X.24,NA
168,69802,X.24,NA
169,81404,X.24,NA
170,127801,X.24,NA
171,2700502,X.24,NA
172,2722203,X.24,NA
173,28702,X.24,NA
174,5153902,X.24,NA
175,5680403,X.24,NA
176,3060503,X.24,NA
177,5189701,X.24,NA
178,490103,X.24,NA
179,468601,X.24,NA
180,280303,X.24,NA
181,782105,X.24,NA
182,964306,X.24,NA
183,532008,X.24,NA
184,8070502,X.24,NA
185,456703,X.24,NA
186,5019503,X.24,NA
187,146102,X.24,NA
188,521203,X.24,NA
189,167502,X.24,NA
190,2921701,X.24,NA
191,5064703,X.24,NA
192,57501,X.24,NA
193,140804,X.24,NA
194,5105701,X.24,NA
195,523504,X.24,NA
196,5091701,X.24,NA
197,5132702,X.24,NA
198,2505601,X.24,NA
199,5180205,X.24,NA
200,380201,X.24,NA
201,26203,X.24,NA
202,166601,X.24,NA
203,5634202,X.24,NA
204,5200101,X.24,NA
205,2992403,X.24,NA
206,5022401,X.24,NA
207,782102,X.24,NA
208,5036801,X.24,NA
209,5112104,X.24,NA
210,2715801,X.24,NA
211,2140204,X.24,NA
212,248203,X.24,NA
213,5075204,X.24,NA
214,320002,X.24,NA
215,5106103,X.24,NA
216,278001,X.24,NA
217,22301,X.24,NA
218,214403,X.24,NA
219,468504,X.24,NA
220,752002,X.24,NA
221,5180602,X.24,NA
222,511801,X.24,NA
223,499510,X.24,NA
224,5082702,X.24,NA
225,2980101,X.24,NA
226,208501,X.24,NA
227,98804,X.24,NA
228,2102001,X.24,NA
229,5007601,X.24,NA
230,2671402,X.24,NA
231,156401,X.24,NA
232,573602,X.24,NA
233,267201,X.24,NA
234,5132602,X.24,NA
235,5173402,X.24,NA
236,5058602,X.24,NA
237,36701,X.24,NA
238,5059101,X.24,NA
239,2550603,X.24,NA
240,206103,X.24,9
241,468102,X.24,NA
242,5177101,X.24,NA
243,477803,X.24,NA
244,5216603,X.24,NA
245,511304,X.24,NA
246,13401,X.24,NA
247,5122502,X.24,NA
248,753002,X.24,NA
249,5217601,X.24,NA
250,5036704,X.24,NA
251,5008301,X.24,NA
252,427901,X.24,NA
253,423706,X.24,NA
254,5029301,X.24,NA
255,780807,X.24,NA
256,5604702,X.24,NA
257,47603,X.24,NA
258,5065403,X.24,NA
259,79908,X.24,NA
260,2536701,X.24,NA
261,2196403,X.24,NA
262,3391601,X.24,NA
263,5677102,X.24,NA
264,5020802,X.24,NA
265,160301,X.24,NA
266,5175503,X.24,NA
267,5071801,X.24,NA
268,2932107,X.24,NA
269,292001,X.24,NA
270,2580404,X.24,NA
271,157401,X.24,NA
272,5112802,X.24,NA
273,5061601,X.24,NA
274,68501,X.24,NA
275,1701,X.24,NA
276,578703,X.24,NA
277,5013101,X.24,NA
278,2022701,X.24,NA
279,2989401,X.24,NA
280,285401,X.24,NA
281,5002701,X.24,NA
282,5060603,X.24,NA
283,5170003,X.24,NA
284,883902,X.24,NA
285,2149503,X.24,NA
286,129702,X.24,NA
287,2091201,X.24,NA
288,5107002,X.24,NA
289,3198402,X.24,NA
290,2688302,X.24,NA
291,2905104,X.24,NA
292,332902,X.24,NA
293,5048001,X.24,NA
294,5005002,X.24,NA
295,713002,X.24,NA
296,3085703,X.24,NA
297,2966305,X.24,NA
298,5175002,X.24,NA
299,207202,X.24,NA
300,53402,X.24,NA
301,5121801,X.24,NA
302,2909501,X.24,NA
303,457802,X.24,NA
304,2928003,X.24,NA
305,7204503,X.24,NA
306,5190601,X.24,NA
307,3015403,X.24,NA
308,5188903,X.24,NA
309,379901,X.24,7
310,8047302,X.24,NA
311,5130401,X.24,NA
312,5187201,X.24,NA
313,5110104,X.24,NA
314,548801,X.24,NA
315,235004,X.24,NA
316,5022805,X.24,NA
317,3020402,X.24,NA
318,5117803,X.24,NA
319,2113101,X.24,NA
320,5077401,X.24,NA
321,153103,X.24,NA
322,8116602,X.24,NA
323,565603,X.24,NA
324,5162401,X.24,NA
325,3095001,X.24,NA
326,524401,X.24,NA
327,5083902,X.24,NA
328,2663201,X.24,NA
329,2933301,X.24,NA
330,5016502,X.24,NA
331,583306,X.24,NA
332,5030301,X.24,NA
333,5632102,X.24,NA
334,5061905,X.24,NA
335,19802,X.24,NA
336,2528101,X.24,NA
337,535502,X.24,NA
338,5122402,X.24,NA
339,5167302,X.24,NA
340,152602,X.24,NA
341,543305,X.24,NA
342,422602,X.24,NA
343,123801,X.24,NA
344,5155601,X.24,NA
345,355303,X.24,NA
346,219401,X.24,NA
347,810604,X.24,NA
348,5170301,X.24,NA
349,330301,X.24,NA
350,267504,X.24,NA
351,2738202,X.24,NA
352,334101,X.24,NA
353,183401,X.24,NA
354,2816402,X.24,NA
355,584704,X.24,NA
356,484003,X.24,NA
357,5016902,X.24,NA
358,580101,X.24,NA
359,187304,X.24,NA
360,5052901,X.24,NA
361,2139803,X.24,NA
362,5115001,X.24,NA
363,127402,X.24,NA
364,3008404,X.24,NA
365,572402,X.24,NA
366,5093601,X.24,NA
367,562506,X.24,NA
368,2567401,X.24,NA
369,241501,X.24,NA
370,478401,X.24,NA
371,581701,X.24,NA
372,2592102,X.24,NA
373,5152101,X.24,NA
374,5092201,X.24,NA
375,5129602,X.24,NA
376,5067702,X.24,NA
377,57701,X.24,NA
378,5120302,X.24,NA
379,325801,X.24,NA
380,158402,X.24,NA
381,3063102,X.24,NA
382,712402,X.24,NA
383,5102604,X.24,NA
384,5147702,X.24,NA
385,5077301,X.24,NA
386,3032302,X.24,NA
387,2725101,X.24,NA
388,797702,X.24,NA
389,2614901,X.24,NA
390,52004,X.24,NA
391,371003,X.24,NA
392,1071503,X.24,NA
393,228402,X.24,NA
394,8006501,X.24,NA
395,5159202,X.24,NA
396,5106204,X.24,NA
397,810603,X.24,NA
398,422801,X.24,NA
399,502702,X.24,NA
400,572501,X.24,NA
401,592104,X.24,NA
402,272701,X.24,NA
403,931102,X.24,NA
404,5075703,X.24,NA
405,177803,X.24,NA
406,111703,X.24,NA
407,2822202,X.24,NA
408,434101,X.24,NA
409,5123001,X.24,NA
410,2956002,X.24,NA
411,7211502,X.24,NA
412,5028701,X.24,NA
413,596201,X.24,NA
414,5048802,X.24,NA
415,380401,X.24,NA
416,456001,X.24,NA
417,526401,X.24,NA
418,104901,X.24,NA
419,87901,X.24,NA
420,498702,X.24,NA
421,7005502,X.24,NA
422,5175801,X.24,NA
423,5087901,X.24,NA
424,5153402,X.24,NA
425,2614401,X.24,NA
426,99802,X.24,NA
427,3100702,X.24,NA
428,5002602,X.24,NA
429,207101,X.24,NA
430,5001401,X.24,NA
431,2713701,X.24,NA
432,5166903,X.24,NA
433,3078402,X.24,NA
434,5198901,X.24,NA
435,2716501,X.24,NA
436,2990601,X.24,NA
437,2105202,X.24,NA
438,572503,X.24,NA
439,484005,X.24,NA
440,564904,X.24,NA
441,854702,X.24,NA
442,5101301,X.24,NA
443,5156503,X.24,NA
444,5091202,X.24,NA
445,131901,X.24,NA
446,3090603,X.24,NA
447,3044001,X.24,NA
448,251804,X.24,NA
449,108001,X.24,NA
450,5106302,X.24,NA
451,509601,X.24,NA
452,5133701,X.24,NA
453,8037202,X.24,NA
454,88401,X.24,NA
455,5101003,X.24,NA
456,176005,X.24,NA
457,3021601,X.24,NA
458,170601,X.24,NA
459,5000501,X.24,NA
460,7200201,X.24,NA
461,2508103,X.24,NA
462,5159201,X.24,NA
463,8096201,X.24,NA
464,5135101,X.24,NA
465,404103,X.24,NA
466,853902,X.24,NA
467,2994701,X.24,NA
468,5030104,X.24,NA
469,5162901,X.24,NA
470,5022804,X.24,NA
471,5019203,X.24,NA
472,98702,X.24,NA
473,3008403,X.24,NA
474,514102,X.24,NA
475,5007401,X.24,NA
476,5133801,X.24,NA
477,22602,X.24,NA
478,5176203,X.24,NA
479,2509102,X.24,NA
480,582303,X.24,NA
481,5118102,X.24,NA
482,5308503,X.24,NA
483,5030101,X.24,NA
484,502304,X.24,NA
485,419602,X.24,NA
486,521202,X.24,NA
487,5102901,X.24,NA
488,576106,X.24,NA
489,210202,X.24,NA
490,661103,X.24,NA
491,2956001,X.24,NA
492,5093501,X.24,NA
493,5070601,X.24,NA
494,608702,X.24,NA
495,439301,X.24,NA
496,5024503,X.24,NA
497,411502,X.24,NA
498,5070702,X.24,NA
499,5160902,X.24,NA
500,2718401,X.24,NA
501,569407,X.24,NA
502,232202,X.24,NA
503,179503,X.24,NA
504,5685902,X.24,NA
505,5047801,X.24,NA
506,410802,X.24,NA
507,2055605,X.24,NA
508,594105,X.24,NA
509,5008601,X.24,NA
510,316106,X.24,NA
511,601605,X.24,NA
512,595802,X.24,NA
513,2580101,X.24,NA
514,3007002,X.24,NA
515,5208102,X.24,NA
516,917802,X.24,NA
517,478101,X.24,NA
518,210002,X.24,NA
519,324202,X.24,NA
520,12502,X.24,NA
521,2555601,X.24,NA
522,454904,X.24,NA
523,8032702,X.24,NA
524,387201,X.24,NA
525,5011001,X.24,NA
526,5097403,X.24,NA
527,3001303,X.24,NA
528,113403,X.24,NA
529,5071803,X.24,NA
530,2796701,X.24,NA
531,80003,X.24,NA
532,7000202,X.24,NA
533,360204,X.24,NA
534,2878202,X.24,NA
535,7205201,X.24,NA
536,5678904,X.24,NA
537,2907702,X.24,NA
538,5304702,X.24,NA
539,2615701,X.24,NA
540,534602,X.24,NA
541,588701,X.24,NA
542,5134501,X.24,NA
543,187602,X.24,NA
544,588301,X.24,NA
545,7213602,X.24,NA
546,5069802,X.24,NA
547,5081301,X.24,NA
548,5123004,X.24,NA
549,5030304,X.24,NA
550,5098102,X.24,NA
551,3104504,X.24,NA
552,434102,X.24,NA
553,540901,X.24,NA
554,465301,X.24,NA
555,5067703,X.24,NA
556,5187302,X.24,NA
557,261001,X.24,NA
558,8054202,X.24,NA
559,520904,X.24,NA
560,272201,X.24,NA
561,305902,X.24,NA
562,5028101,X.24,NA
563,2718101,X.24,NA
564,2742202,X.24,NA
565,5050501,X.24,NA
566,2546502,X.24,NA
567,854802,X.24,NA
568,902702,X.24,NA
569,536501,X.24,9
570,418701,X.24,NA
571,5047802,X.24,NA
572,296904,X.24,5
573,5121702,X.24,NA
574,16401,X.24,NA
575,459601,X.24,NA
576,5167502,X.24,NA
577,5119601,X.24,NA
578,5125202,X.24,NA
579,5094001,X.24,NA
580,5216902,X.24,NA
581,2115501,X.24,NA
582,5072201,X.24,NA
583,5016801,X.24,NA
584,5117801,X.24,NA
585,5064802,X.24,NA
586,585901,X.24,NA
587,68202,X.24,NA
588,5039701,X.24,NA
589,5161403,X.24,NA
590,852205,X.24,NA
591,5084902,X.24,NA
592,584802,X.24,NA
593,602403,X.24,NA
594,271905,X.24,NA
595,7020505,X.24,NA
596,3072401,X.24,NA
597,2994501,X.24,NA
598,500101,X.24,NA
599,496202,X.24,NA
600,5195502,X.24,NA
601,514801,X.24,NA
602,464802,X.24,NA
603,5195702,X.24,NA
604,111701,X.24,NA
605,268402,X.24,NA
606,61002,X.24,NA
607,354902,X.24,NA
608,89104,X.24,7
609,5093201,X.24,NA
610,5662502,X.24,NA
611,7229901,X.24,NA
612,300101,X.24,NA
613,277003,X.24,NA
614,533605,X.24,NA
615,482802,X.24,NA
616,3842302,X.24,NA
617,2958901,X.24,NA
618,3006801,X.24,NA
619,251501,X.24,NA
620,5126705,X.24,NA
621,125502,X.24,NA
622,856502,X.24,NA
623,3043501,X.24,NA
624,5507502,X.24,NA
625,173901,X.24,NA
626,154101,X.24,NA
627,112508,X.24,NA
628,521902,X.24,NA
629,525603,X.24,NA
630,5165104,X.24,NA
631,5066801,X.24,NA
632,810605,X.24,NA
633,419502,X.24,NA
634,2917902,X.24,NA
635,590701,X.24,NA
636,6002,X.24,NA
637,69301,X.24,NA
638,855603,X.24,NA
639,2539101,X.24,NA
640,5162204,X.24,NA
641,5109401,X.24,NA
642,5107401,X.24,NA
643,5014702,X.24,NA
644,583706,X.24,NA
645,510701,X.24,NA
646,366103,X.24,NA
647,5161003,X.24,NA
648,595605,X.24,NA
649,169102,X.24,NA
650,652103,X.24,NA
651,883502,X.24,NA
652,3022401,X.24,NA
653,2022202,X.24,NA
654,557101,X.24,NA
655,5042401,X.24,NA
656,5107501,X.24,NA
657,3085605,X.24,NA
658,5081102,X.24,NA
659,581901,X.24,NA
660,57101,X.24,NA
661,31901,X.24,NA
662,5020702,X.24,NA
663,531301,X.24,NA
664,7018401,X.24,NA
665,515902,X.24,NA
666,89503,X.24,NA
667,579002,X.24,NA
668,7016101,X.24,NA
669,2975601,X.24,NA
670,511201,X.24,NA
671,5096802,X.24,NA
672,5052601,X.24,NA
673,7208802,X.24,NA
674,44702,X.24,NA
675,355201,X.24,NA
676,304002,X.24,NA
677,3432603,X.24,NA
678,43702,X.24,NA
679,17101,X.24,NA
680,5634304,X.24,NA
681,5130302,X.24,NA
682,5206602,X.24,NA
683,298402,X.24,NA
684,2607501,X.24,NA
685,182802,X.24,NA
686,3010801,X.24,NA
687,5204004,X.24,NA
688,5060501,X.24,NA
689,12603,X.24,NA
690,148001,X.24,NA
691,2204602,X.24,NA
692,548102,X.24,NA
693,5112806,X.24,NA
694,410801,X.24,NA
695,5060301,X.24,NA
696,3090602,X.24,NA
697,2042402,X.24,NA
698,3322502,X.24,NA
699,8075901,X.24,NA
700,2541003,X.24,NA
701,7224103,X.24,NA
702,2827102,X.24,NA
703,5106201,X.24,NA
704,511303,X.24,NA
705,5507002,X.24,NA
706,278103,X.24,NA
707,37501,X.24,NA
708,5189002,X.24,NA
709,439501,X.24,NA
710,5193202,X.24,NA
711,582304,X.24,NA
712,50901,X.24,NA
713,461102,X.24,NA
714,58301,X.24,NA
715,5054601,X.24,NA
716,541501,X.24,NA
717,215501,X.24,NA
718,2927801,X.24,NA
719,464301,X.24,NA
720,7204801,X.24,NA
721,418201,X.24,NA
722,331304,X.24,NA
723,2072202,X.24,NA
724,2175401,X.24,NA
725,821304,X.24,NA
726,5138803,X.24,NA
727,2740603,X.24,NA
728,5178901,X.24,NA
729,529101,X.24,NA
730,497501,X.24,NA
731,5196801,X.24,NA
732,578901,X.24,NA
733,5004404,X.24,NA
734,5197303,X.24,NA
735,5062101,X.24,NA
736,389302,X.24,NA
737,1107902,X.24,NA
738,5123901,X.24,NA
739,5049201,X.24,NA
740,472701,X.24,NA
741,5129901,X.24,NA
742,1157502,X.24,NA
743,3023202,X.24,NA
744,5192902,X.24,NA
745,5405402,X.24,NA
746,548601,X.24,NA
747,569903,X.24,NA
748,2637101,X.24,NA
749,5106403,X.24,NA
750,342203,X.24,NA
751,157201,X.24,NA
752,3916602,X.24,NA
753,5174801,X.24,NA
754,5115502,X.24,NA
755,2678202,X.24,NA
756,853002,X.24,NA
757,5145802,X.24,NA
758,5105803,X.24,NA
759,373904,X.24,NA
760,270002,X.24,NA
761,468401,X.24,NA
762,5042602,X.24,NA
763,592605,X.24,NA
764,239301,X.24,NA
765,7017401,X.24,NA
766,2655601,X.24,NA
767,502203,X.24,NA
768,5151302,X.24,NA
769,115001,X.24,NA
770,568302,X.24,NA
771,587903,X.24,NA
772,23701,X.24,NA
773,5143602,X.24,NA
774,2682501,X.24,NA
775,77202,X.24,NA
776,5702,X.24,NA
777,462702,X.24,NA
778,594504,X.24,NA
779,2704901,X.24,NA
780,5141501,X.24,NA
781,5140302,X.24,NA
782,2646001,X.24,NA
783,1102002,X.24,NA
784,1098902,X.24,NA
785,251704,X.24,NA
786,5007303,X.24,NA
787,2552202,X.24,NA
788,212301,X.24,NA
789,562001,X.24,NA
790,6401,X.24,NA
791,5180502,X.24,NA
792,5043301,X.24,NA
793,3059402,X.24,NA
794,5136203,X.24,NA
795,302,X.24,NA
796,2660202,X.24,NA
797,5011503,X.24,NA
798,2931201,X.24,NA
799,5145902,X.24,NA
800,1246203,X.24,NA
801,24302,X.24,NA
802,1002602,X.24,NA
803,5172501,X.24,NA
804,5035205,X.24,NA
805,3494802,X.24,NA
806,7208803,X.24,NA
807,5197202,X.24,NA
808,208103,X.24,NA
809,592705,X.24,NA
810,138401,X.24,NA
811,585401,X.24,NA
812,476401,X.24,NA
813,3093601,X.24,NA
814,499301,X.24,NA
815,5185603,X.24,NA
816,532013,X.24,NA
817,481003,X.24,NA
818,5116901,X.24,NA
819,2828801,X.24,NA
820,372002,X.24,NA
821,585301,X.24,NA
822,254802,X.24,NA
823,5142702,X.24,NA
824,7006103,X.24,NA
825,2037601,X.24,NA
826,5017401,X.24,NA
827,439401,X.24,NA
828,2685601,X.24,NA
829,1001002,X.24,NA
830,5109603,X.24,NA
831,426701,X.24,NA
832,436305,X.24,NA
833,5133902,X.24,NA
834,5051902,X.24,NA
835,935702,X.24,NA
836,5005202,X.24,NA
837,522404,X.24,NA
838,990802,X.24,NA
839,586902,X.24,NA
840,154201,X.24,NA
841,2127201,X.24,NA
842,7004003,X.24,NA
843,2666501,X.24,NA
844,7219202,X.24,NA
845,115702,X.24,NA
846,5063902,X.24,NA
847,559703,X.24,NA
848,2308202,X.24,NA
849,572301,X.24,NA
850,884002,X.24,NA
851,390902,X.24,NA
852,5185101,X.24,NA
853,2046604,X.24,NA
854,2993601,X.24,NA
855,5046501,X.24,NA
856,104101,X.24,NA
857,2678201,X.24,NA
858,5068405,X.24,NA
859,462103,X.24,NA
860,5017705,X.24,NA
861,583201,X.24,NA
862,588002,X.24,NA
863,3079802,X.24,NA
864,319903,X.24,NA
865,889702,X.24,NA
866,208302,X.24,NA
867,7231401,X.24,NA
868,412602,X.24,NA
869,5214701,X.24,NA
870,345501,X.24,NA
871,7019903,X.24,NA
872,5011601,X.24,NA
873,795202,X.24,NA
874,5022103,X.24,NA
875,383601,X.24,NA
876,195402,X.24,NA
877,703802,X.24,NA
878,86805,X.24,NA
879,7219501,X.24,NA
880,140803,X.24,NA
881,3060601,X.24,NA
882,715302,X.24,NA
883,2705003,X.24,NA
884,2156903,X.24,NA
885,5016302,X.24,NA
886,52102,X.24,NA
887,5185702,X.24,NA
888,43701,X.24,NA
889,5004101,X.24,NA
890,2924002,X.24,NA
891,780808,X.24,NA
892,484202,X.24,NA
893,211603,X.24,NA
894,812802,X.24,NA
895,5077302,X.24,NA
896,520702,X.24,NA
897,416102,X.24,NA
898,8140602,X.24,NA
899,5090401,X.24,NA
900,5657102,X.24,NA
901,5104403,X.24,NA
902,2037404,X.24,NA
903,5010702,X.24,NA
904,5008101,X.24,NA
905,575202,X.24,NA
906,5145703,X.24,NA
907,3100201,X.24,NA
908,93901,X.24,NA
909,512104,X.24,NA
910,5070304,X.24,NA
911,98805,X.24,NA
912,5044102,X.24,NA
913,529502,X.24,NA
914,3015405,X.24,NA
915,791102,X.24,NA
916,505803,X.24,NA
917,5095004,X.24,NA
918,7018302,X.24,NA
919,596603,X.24,NA
920,892802,X.24,NA
921,3079001,X.24,NA
922,118602,X.24,NA
923,186901,X.24,NA
924,177802,X.24,NA
925,5112401,X.24,NA
926,5308502,X.24,NA
927,7224303,X.24,NA
928,288805,X.24,NA
929,522202,X.24,NA
930,282801,X.24,NA
931,208002,X.24,NA
932,508202,X.24,NA
933,570102,X.24,NA
934,5044103,X.24,NA
935,5000805,X.24,NA
936,448801,X.24,NA
937,568504,X.24,NA
938,278501,X.24,NA
939,2699802,X.24,NA
940,185801,X.24,NA
941,340705,X.24,NA
942,457401,X.24,NA
943,133202,X.24,NA
944,5043202,X.24,NA
945,2186101,X.24,NA
946,7008703,X.24,NA
947,571005,X.24,NA
948,529102,X.24,NA
949,463301,X.24,NA
950,283504,X.24,NA
951,182803,X.24,NA
952,5216301,X.24,NA
953,5063302,X.24,NA
954,5085701,X.24,NA
955,893704,X.24,NA
956,392701,X.24,NA
957,493502,X.24,NA
958,3105302,X.24,NA
959,5028401,X.24,NA
960,563903,X.24,NA
961,427001,X.24,NA
962,5187001,X.24,NA
963,5061001,X.24,NA
964,400303,X.24,NA
965,293203,X.24,NA
966,1021702,X.24,NA
967,22501,X.24,NA
968,5193002,X.24,NA
969,502201,X.24,NA
970,326401,X.24,NA
971,2701403,X.24,NA
972,5189101,X.24,NA
973,8001,X.24,NA
974,7006104,X.24,NA
975,534001,X.24,NA
976,5176001,X.24,NA
977,403405,X.24,NA
978,5170801,X.24,NA
979,2508603,X.24,NA
980,551501,X.24,NA
981,5190201,X.24,NA
982,5174303,X.24,NA
983,5081101,X.24,NA
984,5214401,X.24,NA
985,524601,X.24,NA
986,3175801,X.24,NA
987,72002,X.24,NA
988,1241102,X.24,NA
989,218602,X.24,NA
990,402003,X.24,NA
991,541504,X.24,NA
992,5021702,X.24,NA
993,8181702,X.24,NA
994,440701,X.24,NA
995,2716601,X.24,NA
996,251304,X.24,NA
997,5147302,X.24,NA
998,2683301,X.24,NA
999,365901,X.24,NA
1000,5031904,X.24,NA
1001,5118104,X.24,NA
1002,706302,X.24,NA
1003,436801,X.24,NA
1004,5164901,X.24,NA
1005,5155702,X.24,NA
1006,5181001,X.24,NA
1007,5111202,X.24,NA
1008,442001,X.24,NA
1009,315102,X.24,NA
1010,28701,X.24,NA
1011,5159501,X.24,NA
1012,5015501,X.24,NA
1013,596202,X.24,NA
1014,876702,X.24,NA
1015,5005602,X.24,NA
1016,7012902,X.24,NA
1017,468501,X.24,NA
1018,10304,X.24,NA
1019,197201,X.24,NA
1020,558103,X.24,NA
1021,539902,X.24,NA
1022,467202,X.24,NA
1023,460103,X.24,NA
1024,494003,X.24,NA
1025,3869402,X.24,NA
1026,5036302,X.24,NA
1027,858402,X.24,NA
1028,292204,X.24,NA
1029,195102,X.24,NA
1030,5065101,X.24,NA
1031,5163501,X.24,NA
1032,5204001,X.24,NA
1033,5011602,X.24,NA
1034,2705001,X.24,NA
1035,5703,X.24,NA
1036,169504,X.24,NA
1037,580501,X.24,NA
1038,2994002,X.24,NA
1039,442904,X.24,NA
1040,2565602,X.24,NA
1041,5202301,X.24,NA
1042,239702,X.24,NA
1043,575904,X.24,NA
1044,566302,X.24,NA
1045,5212001,X.24,NA
1046,3812302,X.24,NA
1047,5004502,X.24,NA
1048,3027604,X.24,NA
1049,5200502,X.24,NA
1050,5064701,X.24,NA
1051,7202001,X.24,NA
1052,254903,X.24,NA
1053,5043302,X.24,NA
1054,5060602,X.24,NA
1055,5022502,X.24,NA
1056,136102,X.24,NA
1057,5078101,X.24,NA
1058,5171801,X.24,NA
1059,5074003,X.24,NA
1060,3408102,X.24,NA
1061,498201,X.24,NA
1062,5009002,X.24,NA
1063,501002,X.24,NA
1064,5124501,X.24,NA
1065,299602,X.24,NA
1066,2696602,X.24,NA
1067,203801,X.24,NA
1068,25403,X.24,NA
1069,5043902,X.24,NA
1070,123701,X.24,2
1071,503201,X.24,NA
1072,587004,X.24,NA
1073,511306,X.24,NA
1074,8039902,X.24,NA
1075,731805,X.24,NA
1076,41904,X.24,NA
1077,2759901,X.24,NA
1078,507801,X.24,NA
1079,121801,X.24,NA
1080,187702,X.24,NA
1081,2598304,X.24,NA
1082,386001,X.24,NA
1083,5164704,X.24,NA
1084,2055602,X.24,NA
1085,2184103,X.24,NA
1086,517301,X.24,NA
1087,313503,X.24,NA
1088,3843602,X.24,NA
1089,445903,X.24,NA
1090,5134601,X.24,NA
1091,5004202,X.24,NA
1092,2149502,X.24,NA
1093,407402,X.24,NA
1094,5177801,X.24,NA
1095,5057001,X.24,NA
1096,5047301,X.24,NA
1097,527502,X.24,NA
1098,2037801,X.24,NA
1099,194303,X.24,NA
1100,373906,X.24,NA
1101,587101,X.24,NA
1102,2130101,X.24,NA
1103,23501,X.24,NA
1104,560102,X.24,NA
1105,132803,X.24,NA
1106,3035802,X.24,NA
1107,5100802,X.24,NA
